2018-05-03 16:07:16,561[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=305563, open=37441, metric=0, events1=0, events2=0, pushers=2970229, create=305608, release=0, error=0, push_count=3016187, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:34.199, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:684 ms.
2018-05-03 16:08:15,892[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37587, open=37441, metric=1, events1=0, events2=0, pushers=76, create=37587, release=0, error=0, push_count=44491, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:10:58.25, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:15 ms.
2018-05-03 16:08:16,051[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44199, open=44199, metric=0, events1=0, events2=0, pushers=66057, create=44307, release=108, error=10411, push_count=200389, unhosted_size=0, unhosted_count=0, fromproxy_count=64734, clock=2018-02-24 14:06:54.37, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:174 ms.
2018-05-03 16:08:16,625[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=309231, open=37441, metric=0, events1=0, events2=0, pushers=3261602, create=309235, release=0, error=0, push_count=3306921, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:34.098, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:748 ms.
2018-05-03 16:09:15,892[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37587, open=37441, metric=1, events1=0, events2=0, pushers=76, create=37587, release=0, error=0, push_count=44491, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:11:58.249, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:14 ms.
2018-05-03 16:09:16,096[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44199, open=44199, metric=0, events1=0, events2=0, pushers=70201, create=44307, release=108, error=13126, push_count=208657, unhosted_size=0, unhosted_count=0, fromproxy_count=68868, clock=2018-02-24 14:06:54.45, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:219 ms.
2018-05-03 16:09:16,697[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=311767, open=37441, metric=0, events1=0, events2=0, pushers=3525269, create=311771, release=0, error=0, push_count=3571488, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:33.998, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:820 ms.
2018-05-03 16:10:15,893[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37589, open=37441, metric=1, events1=0, events2=0, pushers=78, create=37589, release=0, error=0, push_count=44493, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:07:10.049, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:15 ms.
2018-05-03 16:10:16,146[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44199, open=44199, metric=0, events1=0, events2=0, pushers=73555, create=44307, release=108, error=12619, push_count=215369, unhosted_size=0, unhosted_count=0, fromproxy_count=72224, clock=2018-02-24 14:06:54.763, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:268 ms.
2018-05-03 16:10:16,216[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=314151, open=37441, metric=0, events1=0, events2=0, pushers=3752754, create=314151, release=0, error=0, push_count=3797231, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:34.259, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:338 ms.
2018-05-03 16:11:15,892[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37589, open=37441, metric=1, events1=0, events2=0, pushers=78, create=37589, release=0, error=0, push_count=44493, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:10.052, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:14 ms.
2018-05-03 16:11:16,082[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44199, open=44199, metric=0, events1=7, events2=0, pushers=77688, create=44307, release=108, error=12801, push_count=223632, unhosted_size=0, unhosted_count=0, fromproxy_count=76359, clock=2018-02-24 14:06:55.428, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:204 ms.
